"","mu","sigma","prejudice","own","out","step"
"1",0.1,0.01,0,0.0999474935745377,0.0999512143835791,0
"2",0.1,0.01,0.05,0.14999703130919,0.0500056182247229,0
"3",0.1,0.01,0.1,0.20001814734208,0.00429294395174828,0
"4",0.1,0.01,0.2,0.299959034907577,0.000558704668970157,0
"5",0.1,0.01,0.4,0.500008911501057,0.000558704668970157,0
"6",0.1,0.05,0,0.100598177322341,0.100525611968847,0
"7",0.1,0.05,0.05,0.150245351050653,0.0544743146076768,0
"8",0.1,0.05,0.1,0.200001459623505,0.0202331774080797,0
"9",0.1,0.05,0.2,0.299585902102053,0.000978571857542327,0
"10",0.1,0.05,0.4,0.500091590765564,0.000558704668970157,0
"11",0.1,0.1,0,0.108769916931077,0.108749833379055,0
"12",0.1,0.1,0.05,0.153222492755267,0.069696358207254,0
"13",0.1,0.1,0.1,0.200615674029888,0.0399928455338409,0
"14",0.1,0.1,0.2,0.300461975867921,0.00881670851631211,0
"15",0.1,0.1,0.4,0.500289734916126,0.000592036245283176,0
"16",0.1,0.2,0,0.138796750812144,0.139392624345656,0
"17",0.1,0.2,0.05,0.176556882853105,0.107453801582274,0
"18",0.1,0.2,0.1,0.217502021233462,0.0801702145141381,0
"19",0.1,0.2,0.2,0.306080910284605,0.0399694636882382,0
"20",0.1,0.2,0.4,0.499558087047156,0.00619606851275233,0
"21",0.1,0.4,0,0.212057080039913,0.212979082398844,0
"22",0.1,0.4,0.05,0.242810408147122,0.185122307258429,0
"23",0.1,0.4,0.1,0.274824979057406,0.159965117076609,0
"24",0.1,0.4,0.2,0.346988040007746,0.11457017802897,0
"25",0.1,0.4,0.4,0.499002336821784,0.0527530136381486,0
"26",0.3,0.01,0,0.299974316950651,0.300053720933314,0
"27",0.3,0.01,0.05,0.349984927320177,0.249991725686282,0
"28",0.3,0.01,0.1,0.399987498956107,0.19997503950961,0
"29",0.3,0.01,0.2,0.500054226554008,0.100045201344512,0
"30",0.3,0.01,0.4,0.699974464943364,0.000558704668970157,0
"31",0.3,0.05,0,0.300122101846411,0.300004019457255,0
"32",0.3,0.05,0.05,0.349842227419373,0.249839409222497,0
