"","sim","TL","TGS","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","startThirdMu","startThirdSD","endOwnMu","endOwnSD","endOutMu","endtOutSD","endThirdMu","endThirdSD"
"364",43,0.9,0.5,0.2,0.699272903652852,0.0982657060790917,0.298669077531583,0.0980899196130581,0.837862866565468,0.166523964609437,0.997113041031223,0.00144941388568729,0.440412606870039,0.391712903879819,0.985232923901902,0.0183489584145411
"365",43,0.9,0.5,0.4,0.891334171599573,0.0833032105496436,0.108729992267233,0.0872114712742957,0.750154934520943,0.25944976142845,0.999498217149832,0.000438891286747338,0.0669614351698004,0.100826693081988,0.8177105462593,0.195935849404166
"366",43,0.9,0.65,0,0.500832748057608,0.100660845693477,0.500406889248705,0.100888497990718,0.891187273857592,0.0880329587681768,0.985528395902228,0.0139520627670967,0.985511701719751,0.0139114905546983,0.999656629260373,0.00050293569426851
"367",43,0.9,0.65,0.05,0.550617435191548,0.102071770262529,0.449985126918027,0.0987709377985494,0.90048584650727,0.0888962019015709,0.991443745000566,0.0068087088560118,0.967860280973812,0.0366850441145321,0.999519804097776,0.000724721442406973
"368",43,0.9,0.65,0.1,0.598227929545807,0.0982905575374553,0.399076527852126,0.101764070904357,0.90202656513521,0.105783184530747,0.99471148465192,0.00350333638959501,0.927162003918811,0.0885684522414525,0.999257642426723,0.00113840560216743
"369",43,0.9,0.65,0.2,0.698660326756231,0.0994293304393758,0.303892232795984,0.101403470590649,0.888114756991636,0.151418876298112,0.997692113578058,0.0013051477201436,0.752453764977715,0.295230532829948,0.998555488993438,0.00227482114864641
"370",43,0.9,0.65,0.4,0.892523583139568,0.0854212447534358,0.104832214927617,0.0855508563678799,0.826884099067971,0.244295663103463,0.999555419316139,0.000393330288162031,0.25899007544379,0.27541603297599,0.94044786337321,0.0884863569288359
"371",43,0.9,0.8,0,0.495654947111907,0.101967899591504,0.497868666277815,0.101402337615344,0.891616750769244,0.0845106390694041,0.991333784640857,0.0081580155574345,0.991395704894334,0.00848441039425744,0.999951116692423,8.33446544800029e-05
"372",43,0.9,0.8,0.05,0.550048236993206,0.0982086839983232,0.449779585172515,0.100095785374276,0.909981731890216,0.0884201764694529,0.994652399263134,0.00436345735964461,0.986530566457092,0.0227898549470412,0.99993760139405,0.00013272332011756
"373",43,0.9,0.8,0.1,0.602859323660511,0.101097272267463,0.400464968217575,0.09999933359211,0.922597366553216,0.0940446714563317,0.996434114537044,0.00228317727358749,0.977037579972009,0.0317382278864882,0.99990715912276,0.00020049388408724
"374",43,0.9,0.8,0.2,0.698589750884025,0.103041617439644,0.30112483774255,0.098710824767022,0.926889506998594,0.130925324124325,0.998157929926303,0.0010806659453156,0.915341238571631,0.139099109857753,0.999777978263365,0.000473509697210939
"375",43,0.9,0.8,0.4,0.891795324092644,0.0880136996233068,0.111312876311045,0.0851552287223055,0.907998842884434,0.196127658088254,0.999598880882091,0.00036723827804611,0.588641561249562,0.390988973980978,0.99491522393751,0.0119877540615743
"376",44,0.5,0.2,0,0.500446717559313,0.100783378352541,0.494799848951854,0.0987616287957631,0.505345710800123,0.100982356323074,0.521773183321828,0.108585193366498,0.447379676829448,0.10200410092796,0.520772738261104,0.101447944543397
"377",44,0.5,0.2,0.05,0.547417686646493,0.100408580567587,0.445608827518957,0.0985844460865162,0.470005343720531,0.111427849311698,0.876086633505006,0.0793024017387848,0.0765972856526993,0.0441500760732702,0.442599256631254,0.120165603382798
"378",44,0.5,0.2,0.1,0.600617197419295,0.098774721820927,0.403163977030057,0.0976428014731694,0.437965028945361,0.123538948060545,0.962790528814556,0.0351656966094896,0.0268435196692897,0.0186243645745391,0.427093506596377,0.136951762882465
