"","mu","sigma","prejudice","own","out","third","step"
"74",0.45,0.1,0.05,-0.0261876533268905,-1.40294836087396,NA,10000
"75",0.45,0.1,0.1,0.0651437455662611,-0.22113962082325,NA,0
"76",0.45,0.1,0.1,0.887126145566228,-1.69764362082313,NA,10000
"77",0.45,0.1,0.2,0.220870447658925,-0.394946788497844,NA,0
"78",0.45,0.1,0.2,1.6934760476588,-2.11148838849767,NA,10000
"79",0.45,0.1,0.4,0.737581764577229,-1.35111179066145,NA,0
"80",0.45,0.1,0.4,2.59740896457703,-3.29627099066124,NA,10000
"81",0.45,0.2,0,-0.0912680270871924,-0.103836847757848,NA,0
"82",0.45,0.2,0,-0.849312827087162,-0.858894447757817,NA,10000
"83",0.45,0.2,0.05,0.00499033153541765,-0.210127843614902,NA,0
"84",0.45,0.2,0.05,0.0410383315354177,-1.36304864361482,NA,10000
"85",0.45,0.2,0.1,0.0685386696220292,-0.335155363875111,NA,0
"86",0.45,0.2,0.1,0.69794426962201,-1.76482416387499,NA,10000
"87",0.45,0.2,0.2,0.290853152972418,-0.608845883650329,NA,0
"88",0.45,0.2,0.2,1.6972171529723,-2.27858268365017,NA,10000
"89",0.45,0.2,0.4,0.955942418365643,-1.41883506861339,NA,0
"90",0.45,0.2,0.4,2.76932161836546,-3.32671186861319,NA,10000
"91",0.45,0.4,0,-0.182238643583945,-0.0963177064904638,NA,0
"92",0.45,0.4,0,-0.755173043583917,-0.363268906490453,NA,10000
"93",0.45,0.4,0.05,-0.00642136385663059,-0.295863370475253,NA,0
"94",0.45,0.4,0.05,-0.0251077638566298,-1.01665617047521,NA,10000
"95",0.45,0.4,0.1,0.175502083931356,-0.470566846440005,NA,0
"96",0.45,0.4,0.1,0.645957283931334,-1.50554844643993,NA,10000
"97",0.45,0.4,0.2,0.465576691059143,-0.777436293644092,NA,0
"98",0.45,0.4,0.2,1.52527749105906,-2.17217709364397,NA,10000
"99",0.45,0.4,0.4,1.00846547243662,-1.28708043484966,NA,0
"100",0.45,0.4,0.4,2.56619507243648,-3.01996043484949,NA,10000
"101",0.5,0.01,0,-0.000331349566717511,0.000646016143428095,NA,0
"102",0.5,0.01,0,0.00389105043328248,0.0114244161434281,NA,10000
"103",0.5,0.01,0.05,0.067503808387662,-0.0668001908205678,NA,0
"104",0.5,0.01,0.05,0.965989408387621,-0.966652990820527,NA,10000
"105",0.5,0.01,0.1,0.135865273509067,-0.135482051977676,NA,0
"106",0.5,0.01,0.1,1.41178527350898,-1.41208525197759,NA,10000
"107",0.5,0.01,0.2,0.283160474732782,-0.283302457224673,NA,0
"108",0.5,0.01,0.2,1.91247887473263,-1.91282085722452,NA,10000
"109",0.5,0.01,0.4,0.734577028135372,-0.735478415770668,NA,0
"110",0.5,0.01,0.4,2.65669222813516,-2.65637201577046,NA,10000
"111",0.5,0.05,0,0.000678481425210961,0.00138950973022444,NA,0
"112",0.5,0.05,0,0.00865608142521094,0.0351215097302244,NA,10000
"113",0.5,0.05,0.05,0.0680986636990494,-0.0687645171944196,NA,0
"114",0.5,0.05,0.05,0.959457063699009,-0.962947717194379,NA,10000
"115",0.5,0.05,0.1,0.13287135011093,-0.137734283840627,NA,0
"116",0.5,0.05,0.1,1.38822175011084,-1.40971908384054,NA,10000
"117",0.5,0.05,0.2,0.285694699422473,-0.283001120928704,NA,0
"118",0.5,0.05,0.2,1.90946429942232,-1.90107632092856,NA,10000
"119",0.5,0.05,0.4,0.804523903423089,-0.797709081623917,NA,0
"120",0.5,0.05,0.4,2.72438150342288,-2.71721148162371,NA,10000
"121",0.5,0.1,0,-0.000384186880759565,-0.00526966373282013,NA,0
"122",0.5,0.1,0,-0.00659458688075962,-0.103421663732821,NA,10000
"123",0.5,0.1,0.05,0.0626014356176799,-0.0677152548977938,NA,0
"124",0.5,0.1,0.05,0.876172635617648,-0.917513654897757,NA,10000
"125",0.5,0.1,0.1,0.141213731656829,-0.14999467629784,NA,0
"126",0.5,0.1,0.1,1.39419613165674,-1.43190587629775,NA,10000
"127",0.5,0.1,0.2,0.304265362541408,-0.300156571803732,NA,0
"128",0.5,0.1,0.2,1.92001416254126,-1.91374697180358,NA,10000
"129",0.5,0.1,0.4,1.01826092243428,-0.999883725948534,NA,0
"130",0.5,0.1,0.4,2.93233212243407,-2.90690852594833,NA,10000
"131",0.5,0.2,0,0.0132786688332474,0.0347341997135926,NA,0
"132",0.5,0.2,0,0.0877050688332477,0.208454199713592,NA,10000
"133",0.5,0.2,0.05,0.0875176006561307,-0.132509356651121,NA,0
"134",0.5,0.2,0.05,0.794999200656106,-1.01691495665108,NA,10000
"135",0.5,0.2,0.1,0.183984091420599,-0.199258643105923,NA,0
"136",0.5,0.2,0.1,1.31048329142052,-1.37426904310584,NA,10000
"137",0.5,0.2,0.2,0.413553870812351,-0.411946904881194,NA,0
"138",0.5,0.2,0.2,1.93988587081222,-1.95516050488106,NA,10000
"139",0.5,0.2,0.4,1.09953227930064,-1.12363082751646,NA,0
"140",0.5,0.2,0.4,2.95688027930045,-2.98816762751627,NA,10000
"141",0.5,0.4,0,-0.0386227056072498,-0.0321274893371255,NA,0
"142",0.5,0.4,0,-0.180192305607244,-0.108809889337122,NA,10000
"143",0.5,0.4,0.05,0.11239230272626,-0.182323335716061,NA,0
"144",0.5,0.4,0.05,0.488004302726244,-0.702023335716035,NA,10000
"145",0.5,0.4,0.1,0.22636802189713,-0.294396594737168,NA,0
