"","sim","mu","sigma","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","endOwnMu","endOwnSD","endOutMu","endtOutSD"
"1",21,0.1,0.01,0,0.100561698521448,0.00958135472095357,0.0997223373192127,0.00986186996235081,0.000355167891326081,4.36391402612348e-05,0.000351571589149186,4.44932524143664e-05
"2",21,0.1,0.01,0.05,0.150085476010586,0.0100326207462293,0.0496650074339405,0.00995743768055334,0.000651760826113646,6.54254670202824e-05,0.00014587755285083,3.18646816984518e-05
"3",21,0.1,0.01,0.1,0.200236190717075,0.00968076321149827,0.00428470406328791,0.00567623322000606,0.00111837179351238,0.000100389641096218,1.09581006377103e-05,1.46298467325892e-05
"4",21,0.1,0.01,0.2,0.299982285892701,0.0101817608396944,0.000558704668970157,0,0.00326760424288786,0.000264922069741582,1.39883934188099e-06,8.19635815698587e-08
"5",21,0.1,0.01,0.4,0.500069615843124,0.0100595029206341,0.000558704668970157,0,0.502702742639727,0.0236880471394873,1.40209894310438e-06,8.22208184818037e-08
"6",21,0.1,0.05,0,0.102658244704401,0.0500124302535975,0.0998612915092657,0.0490150075455836,0.000376431346724084,0.000203649740566153,0.000363535860090705,0.000199168124016475
"7",21,0.1,0.05,0.05,0.151155062517975,0.0510239313739997,0.0583805122673342,0.0461733483800132,0.000676991080896832,0.000274069544695253,0.000184957962158835,0.000156705057980885
"8",21,0.1,0.05,0.1,0.20090504186865,0.0500077272309627,0.0204472374093926,0.0293614338394095,0.00114701807922699,0.000361066601951011,5.74129267379076e-05,8.55158585658607e-05
"9",21,0.1,0.05,0.2,0.298372849787969,0.0503663185058298,0.00107166292960738,0.0044635212941626,0.00329376067398699,0.000818721631140964,2.75004813383589e-06,1.19287301091696e-05
"10",21,0.1,0.05,0.4,0.500729375009987,0.0504501518306625,0.000558704668970157,0,0.5134960484791,0.0566235622291829,1.40333481190593e-06,8.39554139060526e-08
"11",21,0.1,0.1,0,0.105632874263171,0.0829440873111114,0.111825902856392,0.0851777903938483,0.000416766132722383,0.000365125646555189,0.000454269503241414,0.000390425672575978
"12",21,0.1,0.1,0.05,0.153919659599141,0.0966918366339809,0.0670862627810121,0.0719884879340269,0.000755601844085162,0.000570661175955212,0.000230474779296069,0.00026966351425923
"13",21,0.1,0.1,0.1,0.203701936887544,0.101056998185133,0.0412341377765365,0.0587948224354093,0.00128110913988326,0.000808023593276499,0.000129971869663783,0.000196988365525979
