"","TL","TGS","prejudice","own","out","step"
"41",0.6,0.65,0,0.500275853090879,0.500336574437914,0
"42",0.6,0.65,0.05,0.550027162203508,0.45048588569785,0
"43",0.6,0.65,0.1,0.600958241330049,0.399932241297758,0
"44",0.6,0.65,0.2,0.699900465618158,0.300057893110861,0
"45",0.6,0.65,0.4,0.891235002873468,0.107935667397353,0
"46",0.6,0.8,0,0.499502008874964,0.499804467177389,0
"47",0.6,0.8,0.05,0.550008991323973,0.449754256334845,0
"48",0.6,0.8,0.1,0.599850361654257,0.399996439557798,0
"49",0.6,0.8,0.2,0.700066650823157,0.30057037115871,0
"50",0.6,0.8,0.4,0.89163210057,0.108411378572311,0
"51",0.7,0.2,0,0.499790102968183,0.499636551056558,0
"52",0.7,0.2,0.05,0.549746776315518,0.45094362303911,0
"53",0.7,0.2,0.1,0.600171126357779,0.39985783430714,0
"54",0.7,0.2,0.2,0.7001610373361,0.299975147894749,0
"55",0.7,0.2,0.4,0.891777743648219,0.108973296069683,0
"56",0.7,0.35,0,0.499719540107619,0.499964003163597,0
"57",0.7,0.35,0.05,0.550359049962751,0.449858985570573,0
"58",0.7,0.35,0.1,0.599943280837585,0.399680341938901,0
"59",0.7,0.35,0.2,0.700259523219509,0.299964993009851,0
"60",0.7,0.35,0.4,0.891755891202495,0.10819457748176,0
"61",0.7,0.5,0,0.500031160480639,0.499794856781054,0
"62",0.7,0.5,0.05,0.550188765613777,0.449548008042093,0
"63",0.7,0.5,0.1,0.600196226717998,0.399980663388748,0
"64",0.7,0.5,0.2,0.699960205585751,0.300654410316861,0
"65",0.7,0.5,0.4,0.891814016143342,0.108488149280224,0
"66",0.7,0.65,0,0.499812166700824,0.499780805639288,0
"67",0.7,0.65,0.05,0.550070489180545,0.449536804546621,0
"68",0.7,0.65,0.1,0.60002113973193,0.399790857574086,0
"69",0.7,0.65,0.2,0.700330415359849,0.29999327296859,0
"70",0.7,0.65,0.4,0.891766431518341,0.108571083685559,0
"71",0.7,0.8,0,0.499341462062199,0.500094284452889,0
"72",0.7,0.8,0.05,0.550280388690674,0.449915956903391,0
"73",0.7,0.8,0.1,0.600181165057537,0.400505944009994,0
