"","sim","mu","sigma","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","endOwnMu","endOwnSD","endOutMu","endtOutSD"
"1",41,0.1,0.01,0,0.10001497078455,0.00972469772257463,0.0997773894748148,0.00977456467066096,0.000353290550190489,4.47228302609835e-05,0.00035081872073913,4.42407090676008e-05
"2",41,0.1,0.01,0.05,0.149889291256819,0.00941524457897306,0.0499302718450151,0.00998933379698072,0.000649347716626201,6.30318711232588e-05,0.000147482014615186,3.25124703883318e-05
"3",41,0.1,0.01,0.1,0.199934291683244,0.0100771037680954,0.00445493583528485,0.0059179129704213,0.00111085005208301,9.96776143872656e-05,1.14163521779961e-05,1.52552859290015e-05
"4",41,0.1,0.01,0.2,0.300456957266973,0.00992629179806566,0.000558704668970157,0,0.00328202968696944,0.000276687180575484,1.4019683708169e-06,8.69990354952584e-08
"5",41,0.1,0.01,0.4,0.499877114772229,0.00977875013868637,0.000558704668970157,0,0.497565686659472,0.0271656675658134,1.40136903786033e-06,8.54560950214313e-08
"6",41,0.1,0.05,0,0.0984027652404325,0.0486843435413236,0.100823866834664,0.0484378383756923,0.000355081881804745,0.000194010449874552,0.000366689259854864,0.000193821562781753
"7",41,0.1,0.05,0.05,0.149008582776057,0.0480781920722941,0.056566306263467,0.0437214468043579,0.000660862495840557,0.00025038425192322,0.000176440078843175,0.000145326331236953
"8",41,0.1,0.05,0.1,0.200656020389788,0.0496023670529013,0.0205850752244448,0.0290625334868101,0.00114504329585256,0.000360221197008087,5.72597830026092e-05,8.29695964854293e-05
"9",41,0.1,0.05,0.2,0.299529860618691,0.0512790814483443,0.000946436890061535,0.00354312806422352,0.00332180097155839,0.00085490425284905,2.40999044329568e-06,9.42768333841471e-06
"10",41,0.1,0.05,0.4,0.502195559193783,0.0501454989617173,0.000558704668970157,0,0.536394013609604,0.0536857210939853,1.40486241395741e-06,8.55197034458413e-08
"11",41,0.1,0.1,0,0.110207642511842,0.0882880892817432,0.109683659560794,0.0852381804499001,0.000449228480416083,0.000407748706708544,0.000441981536709168,0.000390488261654634
"12",41,0.1,0.1,0.05,0.149507965122262,0.0910516039625567,0.0692075075903178,0.0709607189247321,0.000714554806359635,0.000506120960620873,0.000238021194665193,0.000265326636300989
"13",41,0.1,0.1,0.1,0.20332871255625,0.0977968025668982,0.0391349660892106,0.0569327072082805,0.00126781526077981,0.000774923446089952,0.000122339836610116,0.000192048868100395
"14",41,0.1,0.1,0.2,0.298111546330581,0.0972914029733599,0.00853955129436873,0.0263107887592644,0.0035057615053398,0.00165423178367828,2.39504618647006e-05,7.74687308653176e-05
"15",41,0.1,0.1,0.4,0.494253900815206,0.100039322653921,0.000558704668970157,0,0.400120329934536,0.124836732327559,1.40382850506212e-06,8.2758676578458e-08
"16",41,0.1,0.2,0,0.140273045233749,0.14662758316778,0.135425127209273,0.150995311357823,0.000777338113046119,0.00103162588397455,0.000804004848688718,0.0022653723292809
"17",41,0.1,0.2,0.05,0.171548597301492,0.157911108450053,0.107005220758174,0.130773287419424,0.00110683898207142,0.00134926505106174,0.000503814388091913,0.00073703769094111
"18",41,0.1,0.2,0.1,0.223924553328427,0.170773966384206,0.0828345229949922,0.122230009990746,0.00200562652605615,0.00242054638284707,0.000362480302058338,0.00065318435207978
"19",41,0.1,0.2,0.2,0.306826157906289,0.191853687495739,0.0379717963791998,0.0792045562834526,0.00602274308023485,0.0154992534967044,0.000133372538136773,0.000305479143079792
"20",41,0.1,0.2,0.4,0.498008259520267,0.206426205568567,0.00594291997859153,0.0268324944249928,0.480755097546498,0.206594974455081,1.73759160074616e-05,8.29597920697515e-05
"21",41,0.1,0.4,0,0.203316180050542,0.251660106279605,0.216614823922164,0.261377423458936,0.0120593390893594,0.0885375890467645,0.0169475543185287,0.108830799452472
"22",41,0.1,0.4,0.05,0.255333556611644,0.280924993644834,0.183651570107617,0.248361391577899,0.0285926008831823,0.139761822023696,0.0123781110947463,0.092641156484929
"23",41,0.1,0.4,0.1,0.279692385990804,0.295834216287274,0.16975820577208,0.238622046192504,0.0392340285898827,0.162887097260819,0.0113256976300572,0.0898482940783843
"24",41,0.1,0.4,0.2,0.353701473907376,0.309467597918399,0.102353872896043,0.184418061700165,0.0721131884242921,0.200129320302679,0.00265177154078375,0.0361880517012376
"25",41,0.1,0.4,0.4,0.493792246534632,0.330631564741709,0.0527410927283483,0.132182971241301,0.466587901629875,0.335345031969014,0.000339682000313076,0.00201904706986268
"26",41,0.3,0.01,0,0.299189249178889,0.00979230130220458,0.300269605894901,0.0103778430805136,0.00323248538657265,0.000266878959008113,0.00326817051753496,0.000271436755528247
"27",41,0.3,0.01,0.05,0.349856213410936,0.0102424958428805,0.250546651715989,0.0101544755532068,0.00623848354442281,0.000513146243841919,0.00187844725315765,0.000159405956315917
"28",41,0.3,0.01,0.1,0.400488182401709,0.0101464685551852,0.200025596155254,0.0101003813322909,0.0145200474078044,0.00123589344286745,0.00111139568994723,9.82711962621142e-05
"29",41,0.3,0.01,0.2,0.499736310760927,0.0098639064932275,0.100109814617832,0.00964060351106399,0.498534315625993,0.0231938643819295,0.000352630502683065,4.37200842069292e-05
"30",41,0.3,0.01,0.4,0.699904688470196,0.01008643624281,0.000558704668970157,0,0.996733755722062,0.000285283478385848,1.39929870884131e-06,8.49570461480208e-08
"31",41,0.3,0.05,0,0.299474995831923,0.0488252030012132,0.301044748728447,0.0498949230508694,0.00332199701641902,0.000816545312102105,0.00337637173622825,0.000826094066401615
"32",41,0.3,0.05,0.05,0.349529140321772,0.048644196587206,0.249154308684979,0.0481131738371982,0.00634955825707804,0.00144916524553952,0.00189590618003404,0.000506927848434116
"33",41,0.3,0.05,0.1,0.397471239997979,0.0498132159501336,0.201878351675941,0.0497611053469289,0.0142776349799478,0.00315771541005073,0.00115972594726886,0.000363526649720917
"34",41,0.3,0.05,0.2,0.500122561619208,0.0502330804239713,0.101365227562012,0.0512476472364804,0.502150741476031,0.0667343752187977,0.00037233947393772,0.000208235387624158
"35",41,0.3,0.05,0.4,0.6990977243792,0.0492874652504306,0.000950190184171389,0.00428277052056653,0.996623460870901,0.000834372009753315,2.42886115533622e-06,1.12637416277883e-05
"36",41,0.3,0.1,0,0.295370786046007,0.102899616157146,0.300164219633976,0.0967489820048166,0.00347743131214376,0.00176788777282988,0.00360479305669415,0.00176913813268005
