"","sim","TL","TGS","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","startThirdMu","startThirdSD","endOwnMu","endOwnSD","endOutMu","endtOutSD","endThirdMu","endThirdSD"
"1",81,0.5,0.2,0,0.50595638866237,0.0980311556601492,0.493919144323428,0.103335092343773,0.495109869492032,0.0996762653733648,0.564530964012459,0.0997774252670669,0.416107606818364,0.102173323650704,0.489583424057678,0.101737772705145
"2",81,0.5,0.2,0.05,0.544167084995054,0.100094500817312,0.449077883701405,0.100991235969851,0.47583242011983,0.107630093204739,0.859296744264494,0.0863531016757348,0.0917411295460306,0.0508812310598731,0.453386048891758,0.118703342167326
"3",81,0.5,0.2,0.1,0.606542880203089,0.102166576819246,0.399302719476941,0.101213106906057,0.437998029416303,0.130675232279449,0.964395920349761,0.0367162976738116,0.0251091080516939,0.0177257405955908,0.422792222499624,0.149468178253184
"4",81,0.5,0.2,0.2,0.702193946662159,0.0997974368288235,0.298597088479564,0.102134933677938,0.382094812762488,0.19043807030269,0.990902649114886,0.0116415404559668,0.00526075604976963,0.00437308178645665,0.382370834024695,0.224363935205817
"5",81,0.5,0.2,0.4,0.892012568193071,0.086494263895511,0.10600861173295,0.0864609225045101,0.243628539875307,0.308909993955792,0.998473353533568,0.00341639879266447,0.00050181057908712,0.000494799607562731,0.247640879263107,0.324856012728888
"6",81,0.5,0.35,0,0.497944403926024,0.0996089898326358,0.49896687226567,0.101284377236439,0.499937184539381,0.09889318440599,0.484504862941877,0.117799041461168,0.486654763753446,0.10425482611462,0.495090352510394,0.101473393238246
"7",81,0.5,0.35,0.05,0.549276585594405,0.0975301936626488,0.460096646630845,0.100528686584717,0.485308547540295,0.109453185293068,0.852309636653503,0.0792547635522429,0.165576255759952,0.0786917587783209,0.50670133657573,0.130755547949653
"8",81,0.5,0.35,0.1,0.599110310899033,0.096530996365136,0.402223228088626,0.0998717529405967,0.46315995996909,0.136300888529443,0.944446011659892,0.0454820960120022,0.0432706860879051,0.0330232320427414,0.48025203101672,0.183220588969579
"9",81,0.5,0.35,0.2,0.699619985877483,0.103189699170197,0.301127570840714,0.0990603310885355,0.431655236773239,0.218279021877075,0.988248316704392,0.0123421079076584,0.00922516270746492,0.00871184311118871,0.470017218776458,0.282351754124678
"10",81,0.5,0.35,0.4,0.886610391924957,0.0902999957983255,0.110494042710434,0.0883703653969425,0.379865227246946,0.384048064208311,0.998224058643896,0.00294013407743663,0.00108804601895067,0.00155435125704338,0.405157813213203,0.419869437641169
"11",81,0.5,0.5,0,0.497396094172866,0.0970376875915877,0.504070294231138,0.0980776312120271,0.497403667598688,0.0967150146994048,0.469096899094216,0.0994964021149773,0.536816405122921,0.099675725626783,0.497132547783251,0.0987357543018353
"12",81,0.5,0.5,0.05,0.549250621469343,0.100576119133275,0.44824785189242,0.10188675306645,0.500205196143562,0.11110479970812,0.850218274859676,0.0746088459208437,0.186836593818819,0.100458772333328,0.583613820148531,0.148124623126094
"13",81,0.5,0.5,0.1,0.603449224585699,0.100832479718677,0.397489165895502,0.102299252457128,0.491134937491327,0.141496087142023,0.949405281102507,0.0341745544318494,0.0783828720098756,0.0606009766722561,0.608704356308037,0.216838901840794
"14",81,0.5,0.5,0.2,0.704290229720684,0.101191645210158,0.303102482661355,0.0979571468084138,0.505470712189032,0.221539593357263,0.990486766595971,0.00751377748477574,0.0383540896169877,0.0390126371448473,0.663609140504819,0.311261392292137
"15",81,0.5,0.5,0.4,0.892722366956278,0.0853178234432922,0.110965351202189,0.0873728393456581,0.504404111139534,0.399077085314183,0.998739542013146,0.00155878693746874,0.00461859778196107,0.00674079350902401,0.562175562309941,0.443632613375328
"16",81,0.5,0.65,0,0.496677158842015,0.104033563858212,0.49826251391542,0.0982877372179642,0.505282436423473,0.100912054964148,0.46493426509273,0.106821619419062,0.470531759412416,0.10090537841645,0.452372305912235,0.103222939139325
"17",81,0.5,0.65,0.05,0.551502260310538,0.101358397998795,0.448653604658568,0.0972018848248214,0.510981883794282,0.108467006109386,0.874444079534527,0.0531453577650794,0.325509015971785,0.138858168208844,0.74406434380997,0.138608977823149
"18",81,0.5,0.65,0.1,0.601464244973906,0.103213558174378,0.397313424858447,0.100519873507894,0.524538288626119,0.136183248494241,0.963382763454351,0.0190197266982217,0.258954722610021,0.164028715800246,0.836663289378915,0.169340817278683
