"","sim","mu","sigma","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","endOwnMu","endOwnSD","endOutMu","endtOutSD"
"494",74,0.9,0.2,0.2,0.960233736290268,0.0793608337393087,0.693930563459089,0.193975400516681,0.999861492577616,0.000301940193379221,0.994254539995045,0.00755904838739896
"495",74,0.9,0.2,0.4,0.993824747344105,0.0304096898113171,0.501903398230188,0.191602532767391,0.999980919044176,0.000109821321500717,0.527724656181132,0.192390607307319
"496",74,0.9,0.4,0,0.790883690289821,0.261370241920578,0.782190201683377,0.267388874381181,0.987774265320014,0.084285633421927,0.978775088810875,0.122171200936284
"497",74,0.9,0.4,0.05,0.82535342420733,0.237418785385044,0.741880547749588,0.284808237218801,0.990953216931559,0.0768664493608366,0.971168620198499,0.142068320948613
"498",74,0.9,0.4,0.1,0.828906482983447,0.248087843091738,0.716577338129135,0.289549767375278,0.981892055674318,0.116459204279299,0.959978966111584,0.164684386135973
"499",74,0.9,0.4,0.2,0.889411318837237,0.194452684462325,0.641565644139023,0.312523226119462,0.99531110176474,0.0556286539406337,0.91820081864034,0.21576158471191
"500",74,0.9,0.4,0.4,0.952912360391902,0.124164426867445,0.494574150831912,0.321208731185169,0.998102625731939,0.0375548790027037,0.470096870667414,0.32084257022274
"501",75,0.1,0.01,0,0.100477927541626,0.00999224046142583,0.0998698720065638,0.010210919069529,0.000354224130590813,4.57109307261557e-05,0.000352505092381891,4.62175173623056e-05
"502",75,0.1,0.01,0.05,0.149553257566998,0.00983642570258576,0.0496365145939852,0.0100443575996072,0.000647166249216523,6.51161156362502e-05,0.000146144356032911,3.2115895066633e-05
"503",75,0.1,0.01,0.1,0.200019314821913,0.0100513439947087,0.00453508898913073,0.00591201795101987,0.00111069990600771,9.75196764011501e-05,1.1577237919588e-05,1.5195914492068e-05
"504",75,0.1,0.01,0.2,0.300559752714092,0.0101518308049938,0.000558704668970157,0,0.0033016667905094,0.000273887355653362,1.39758470925693e-06,8.21353686968394e-08
"505",75,0.1,0.01,0.4,0.500584003187245,0.00986286586420743,0.000558704668970157,0,0.51609967620681,0.0238270398106043,1.40705670571146e-06,8.59372480000524e-08
"506",75,0.1,0.05,0,0.100370275047395,0.0480257164649622,0.0967542842795437,0.0467049348102238,0.000365754544600079,0.000194010446266855,0.000346775421496114,0.000184166609156014
"507",75,0.1,0.05,0.05,0.150369300936667,0.0488714719919141,0.0557803003377794,0.0420968769154486,0.000669182068697547,0.000256682430407642,0.000174156242990003,0.000139896754559579
"508",75,0.1,0.05,0.1,0.199096986250404,0.048330155266224,0.0209210171784778,0.0286538533018262,0.00112709690892535,0.000347635142990017,5.8343050477023e-05,8.24409917761028e-05
"509",75,0.1,0.05,0.2,0.300547470848168,0.0489685640245113,0.000860520246024751,0.00263135292708547,0.00334844428918587,0.000827733808918775,2.15413164314902e-06,6.51488091582245e-06
"510",75,0.1,0.05,0.4,0.500541344224987,0.0493317126584559,0.000558704668970157,0,0.515225442659227,0.0542468622867794,1.40020353716238e-06,8.26786496187307e-08
"511",75,0.1,0.1,0,0.107379969691586,0.0846187052626243,0.105799651396593,0.0852616110041571,0.000427836456339768,0.000376109275002053,0.00042082604722576,0.00038140636523436
"512",75,0.1,0.1,0.05,0.152000406662606,0.095332839814078,0.0673510958793156,0.0728071150403034,0.000737670817196568,0.00055076409937497,0.000232762821352706,0.00027205178523623
"513",75,0.1,0.1,0.1,0.196896749256783,0.0981965085352507,0.0389256674496328,0.0554852456263654,0.00118731404313435,0.000734483079824133,0.000120828094434666,0.000181415881046729
"514",75,0.1,0.1,0.2,0.301816043698732,0.100441909276855,0.00980854824613389,0.0280718782349134,0.00369047529970325,0.00179548932258769,2.77454309594268e-05,8.26312309787973e-05
"515",75,0.1,0.1,0.4,0.497838724702027,0.107354462028327,0.000576846850896345,0.000573706166118972,0.460680079154812,0.126078635562483,1.4492513856372e-06,1.54603851529214e-06
"516",75,0.1,0.2,0,0.140314045659062,0.147027182985504,0.137606322751143,0.150381286946769,0.000782941339819962,0.00107836985770709,0.000772960155281443,0.00122139065497263
