"","sim","mu","sigma","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","endOwnMu","endOwnSD","endOutMu","endtOutSD"
"1",61,0.1,0.01,0,0.0998998337141957,0.0103768779211329,0.100285529686565,0.00956103193798504,0.000352324289748282,4.70979838908856e-05,0.000353341879449282,4.4070991085542e-05
"2",61,0.1,0.01,0.05,0.14976327404062,0.00983793779464796,0.0501026325846886,0.00998658299361364,0.000648134552460115,6.31555863771713e-05,0.000147888787164419,3.20605037723912e-05
"3",61,0.1,0.01,0.1,0.200404457887611,0.00984422206520346,0.00445142436174309,0.00587725601643909,0.00111455447510812,9.92207656383297e-05,1.14418504707744e-05,1.53141028337821e-05
"4",61,0.1,0.01,0.2,0.299508956010488,0.0102696030179865,0.000558704668970157,0,0.00322409099705342,0.000270525619145816,1.40701903179234e-06,8.61632820858195e-08
"5",61,0.1,0.01,0.4,0.499999854323451,0.00997717414844636,0.000558704668970157,0,0.501267412964322,0.0249980779930095,1.40474291262717e-06,8.43952292036705e-08
"6",61,0.1,0.05,0,0.10310276946738,0.0503388799437688,0.098744832411679,0.0489921070421689,0.000380764451876951,0.000207426995298451,0.000357135951913221,0.00019615642628622
"7",61,0.1,0.05,0.05,0.148349641039247,0.0507218803754899,0.0562609126803031,0.0453212826567042,0.000659715845921177,0.000266349815624828,0.000175860154852745,0.000149907544332503
"8",61,0.1,0.05,0.1,0.198328563381988,0.0519030503658881,0.0200146462387534,0.0281945694566303,0.00112145320335194,0.000368566130829207,5.52521142632174e-05,8.00486535438532e-05
"9",61,0.1,0.05,0.2,0.300791080094339,0.0493371632463994,0.00105493494949663,0.00440559682070312,0.00335347245978956,0.000805985977336712,2.68908231422339e-06,1.18578334820455e-05
"10",61,0.1,0.05,0.4,0.499292326965369,0.0513318690885736,0.000558704668970157,0,0.488899030753339,0.063305840234844,1.4022131229317e-06,8.14044249447916e-08
"11",61,0.1,0.1,0,0.109304495542713,0.0892034986704093,0.111382748967034,0.0862500394806494,0.000447117252234134,0.000414180633832413,0.000452572209497429,0.00039684239639699
"12",61,0.1,0.1,0.05,0.153555854531771,0.0978015526704299,0.0730048468482805,0.0754983670377737,0.000751521505048193,0.000564852827825069,0.000256424409417953,0.00028947905798262
"13",61,0.1,0.1,0.1,0.195555948678122,0.102508700547624,0.04005017156657,0.0583410780017851,0.00118195530154562,0.000790005163365526,0.000125886547800158,0.000194483308114207
"14",61,0.1,0.1,0.2,0.299358550870942,0.0998680498871236,0.00894110387017608,0.0255989703934603,0.00359686388044806,0.00177367006191741,2.49174224473964e-05,7.40202450830277e-05
"15",61,0.1,0.1,0.4,0.501332616746225,0.0980833717358884,0.000657292529500718,0.00264162641691572,0.517079222329296,0.136995172858804,1.68262411079207e-06,7.5555814547617e-06
"16",61,0.1,0.2,0,0.139230528446358,0.153423138882417,0.126071408316736,0.144029167498144,0.000804360673535465,0.00127170594720915,0.000660047219604462,0.000922696587234392
"17",61,0.1,0.2,0.05,0.178130920343769,0.162669911521485,0.107119604578414,0.132210854181757,0.00121490771119308,0.00148989374613162,0.000511240748548016,0.000813156602621223
"18",61,0.1,0.2,0.1,0.219415917676089,0.178854824301755,0.0858439514666217,0.120290465535798,0.00226035655453011,0.0082947557613203,0.000367869876951667,0.000602563523491348
"19",61,0.1,0.2,0.2,0.315038948503421,0.188333738568323,0.0387601514744387,0.0830103189777026,0.00647249924404931,0.010607104337233,0.000138688324463263,0.000335180156814109
"20",61,0.1,0.2,0.4,0.505169927753601,0.1937277604418,0.00653114994279651,0.0284701370074807,0.568000904174678,0.196213768318466,1.96522258674395e-05,9.27369319004022e-05
"21",61,0.1,0.4,0,0.213890575709805,0.262343153545238,0.214886125570351,0.260662807893225,0.015366672142452,0.101370827653938,0.0122330204040427,0.087247034685617
"22",61,0.1,0.4,0.05,0.239163439554698,0.276381700613536,0.18400889192408,0.24900465041563,0.0216873501820716,0.120832017336278,0.0139184503877518,0.0994098249145768
"23",61,0.1,0.4,0.1,0.280601968301323,0.295764438624674,0.156101776417068,0.227595987128922,0.0408371940736588,0.166017957007293,0.00595059475031011,0.0580844331545511
"24",61,0.1,0.4,0.2,0.361930161402982,0.315055209082916,0.111931749664935,0.194184247321361,0.078945619524732,0.203169930261816,0.00523722756120011,0.0614561993310945
"25",61,0.1,0.4,0.4,0.513233017170051,0.319810853310409,0.0508065500813166,0.128402238118422,0.576721296438751,0.318121324393547,0.00193024208082686,0.0374350000537407
"26",61,0.3,0.01,0,0.30028345644356,0.0101245992077173,0.300133084854078,0.0096251347426661,0.00328366157571484,0.000269279037547971,0.00327023252086938,0.000262343116625043
"27",61,0.3,0.01,0.05,0.350006560637472,0.00959203151969962,0.249508172726322,0.0100299872370234,0.00624102627571535,0.000486178040290206,0.00186757075177603,0.000158172064158287
"28",61,0.3,0.01,0.1,0.399914381452613,0.00994074133240306,0.200099955773713,0.00988933420287529,0.0143215590699787,0.00119542834447719,0.00111507398624564,9.96525858223812e-05
"29",61,0.3,0.01,0.2,0.499488414143344,0.0101736515370718,0.0999929095812894,0.0103102530861193,0.494730872838683,0.0253019051975317,0.000352799950838835,4.58689287123797e-05
"30",61,0.3,0.01,0.4,0.699744915466628,0.0102001403322605,0.000558704668970157,0,0.996736623795969,0.000274568592798478,1.40257424812607e-06,8.29961802667536e-08
"31",61,0.3,0.05,0,0.300210961246242,0.0477117607555236,0.30111650046068,0.0494345919817241,0.00336041084900788,0.000807535850604454,0.00339384083143253,0.000837256223215947
"32",61,0.3,0.05,0.05,0.351078145503929,0.0490835331835385,0.250511134252554,0.0496006985565299,0.00647809605529006,0.00148982993144767,0.00192696298450559,0.00052416788894963
"33",61,0.3,0.05,0.1,0.400657265937971,0.0502939952563114,0.200495856182248,0.0494433660909975,0.0152110695659103,0.00340574909135435,0.00114204146916239,0.000360869533951149
"34",61,0.3,0.05,0.2,0.500202956846573,0.0498306113439819,0.0974904785339456,0.0488652545972836,0.504034326124085,0.0640962450606373,0.00035242146108181,0.000193695019968009
"35",61,0.3,0.05,0.4,0.70206876433198,0.0500101735785463,0.000897211994415592,0.00286111932770384,0.996731678060264,0.000824807816439773,2.28260559775552e-06,7.5933974756657e-06
"36",61,0.3,0.1,0,0.302809766403344,0.102609424210783,0.299782498064955,0.0994043747935329,0.00376641728634726,0.00190052809145101,0.00359013193511155,0.00168424387665639
"37",61,0.3,0.1,0.05,0.351983008285674,0.0990820685561515,0.250336960104174,0.101839121056388,0.00715175031699087,0.00319013562638199,0.00208582779776859,0.00113515511254429
"38",61,0.3,0.1,0.1,0.400822811517248,0.096272610651578,0.204188274722165,0.103278474701835,0.016556137906185,0.00699126034310989,0.00128961167844987,0.000819459448504543
"39",61,0.3,0.1,0.2,0.502607643402954,0.0989081279282635,0.109140724799601,0.0872405891565611,0.541333339691217,0.118132134033647,0.000440336462961207,0.000397557540889082
"40",61,0.3,0.1,0.4,0.696812148751001,0.0988904180221074,0.00977419607585075,0.0285229555851936,0.996245756290246,0.00178987172280407,2.77061544634238e-05,8.52702213142622e-05
"41",61,0.3,0.2,0,0.304764324304287,0.1895267684461,0.305222663961904,0.188082872066777,0.00537950273364428,0.00585460001793972,0.00549426965721335,0.00669961376509717
"42",61,0.3,0.2,0.05,0.358128702947059,0.195571357567259,0.25843381518039,0.176699094597495,0.0130471424807069,0.0329828552604737,0.0029410941873232,0.00332752217559819
"43",61,0.3,0.2,0.1,0.401497271454014,0.196449924534783,0.220484127664034,0.169176334040392,0.0286523417764786,0.0429500438548381,0.00189949314466701,0.00215003803868474
"44",61,0.3,0.2,0.2,0.500410422742549,0.201889467628391,0.142084085637666,0.152173129205865,0.512499560778115,0.235287949214054,0.000806911264998491,0.00107897965756383
"45",61,0.3,0.2,0.4,0.699216919949502,0.187476165132392,0.0361987907037854,0.0760263788779391,0.994836878888112,0.0060911873865492,0.000125700172394106,0.000300963791726251
"46",61,0.3,0.4,0,0.342370953263729,0.308324081796068,0.331910388378992,0.296534202237792,0.0670287907207016,0.197466967638854,0.0513652533669146,0.171882269408809
"47",61,0.3,0.4,0.05,0.384911674051559,0.311681655860909,0.32865491456481,0.301982778654205,0.104176901905809,0.226619863343502,0.0536963784625522,0.179561498682404
"48",61,0.3,0.4,0.1,0.413617115678864,0.313587716038557,0.25716898061822,0.280754010469177,0.14412368958177,0.24506524859505,0.0268112347919893,0.132061942511615
"49",61,0.3,0.4,0.2,0.508622667532738,0.329103210005515,0.211470146817918,0.266587836701253,0.545990929328331,0.328787964530633,0.0212370413291596,0.122303261141164
"50",61,0.3,0.4,0.4,0.656581721599254,0.306098131867604,0.118664306982497,0.204022253421117,0.933363462079231,0.196310416627109,0.00283069663998629,0.0390913009752165
"51",61,0.5,0.01,0,0.500243502675196,0.0102447057702238,0.500220831098084,0.0102636464820237,0.490749804595014,0.0242072160259997,0.500805760819082,0.0234060387783482
"52",61,0.5,0.01,0.05,0.550187648923379,0.00987388041816836,0.450139553440498,0.009996914829026,0.947623440585802,0.00419090555543951,0.0534463798782127,0.00445603107658893
"53",61,0.5,0.01,0.1,0.599860953477402,0.0101318291471778,0.399625497351857,0.010039589561006,0.985574667697398,0.00123588429113003,0.0144521841716497,0.00119870800929994
"54",61,0.5,0.01,0.2,0.700053993714596,0.00979517158621657,0.30027077177739,0.0100552790000689,0.996751081905532,0.000266404758946901,0.0032682905604995,0.000268205188802347
"55",61,0.5,0.01,0.4,0.900136189228642,0.00981259925735666,0.100115941199003,0.00999546302891693,0.999648164457698,4.39601396778935e-05,0.000352740670054879,4.47291108839103e-05
"56",61,0.5,0.05,0,0.499328700423835,0.0506221712493115,0.503563026628997,0.0503210242453986,0.49741435351098,0.0554518056973505,0.563012404257518,0.0543227039756806
"57",61,0.5,0.05,0.05,0.54988173682619,0.0483588950108549,0.449330434187792,0.0503393930887208,0.944973506179229,0.012020761853683,0.0530894689443681,0.0109007088066706
"58",61,0.5,0.05,0.1,0.601340953611731,0.0486040318151308,0.399213433266843,0.0485421154089199,0.985496056809735,0.00312036360209547,0.0146302813631191,0.00311548368544683
"59",61,0.5,0.05,0.2,0.70057127625522,0.0501897205310227,0.301530710085201,0.0497600585231441,0.996667044838516,0.000830170190648689,0.0033902392427636,0.000842505217249625
"60",61,0.5,0.05,0.4,0.898569460887443,0.0484047538242455,0.102741158525051,0.0488075231679524,0.999629843793459,0.000196149853108994,0.000376624020355682,0.000199764945587626
"61",61,0.5,0.1,0,0.498111614212926,0.101385034279218,0.498529582504708,0.0998656440159884,0.464839496823239,0.115331437099966,0.469345623759265,0.101620160677589
"62",61,0.5,0.1,0.05,0.549466972939439,0.100573079949941,0.449380839898001,0.0961598262430956,0.937766537169004,0.0268377826891431,0.0601338405180083,0.0240026852758861
"63",61,0.5,0.1,0.1,0.601415770951415,0.0973673288183762,0.402543056563466,0.0981270900249991,0.983968176841761,0.00685726481226267,0.0173565895254563,0.00726795051127883
"64",61,0.5,0.1,0.2,0.700203994602656,0.0971927732537578,0.29891651206899,0.100061901821547,0.996418866192442,0.0017387356826775,0.0035816748627993,0.00172465969462412
"65",61,0.5,0.1,0.4,0.891216353417158,0.0862239050816965,0.106973809009462,0.0851409528993691,0.999559877821324,0.000397960034435113,0.000428730064022638,0.000388299502577493
"66",61,0.5,0.2,0,0.491521903594881,0.198151049358491,0.500438284738576,0.197120127540361,0.418225417805415,0.234652462164627,0.503919299877033,0.197530278890773
"67",61,0.5,0.2,0.05,0.553571769995152,0.194479634646082,0.459008584957988,0.198926357517229,0.910014093972284,0.092131441301285,0.135680030130994,0.11850589388723
"68",61,0.5,0.2,0.1,0.603564306753186,0.195986737264052,0.401257390204628,0.195719970172871,0.972719035333889,0.0483687809410859,0.0285324079378961,0.0451138646483772
"69",61,0.5,0.2,0.2,0.698354385131049,0.187038198490834,0.307212270471354,0.188081890658727,0.994915385837555,0.00555879471364235,0.00563757080902101,0.00896410559630334
"70",61,0.5,0.2,0.4,0.86144679734587,0.145149369370202,0.136976697615552,0.146007219598148,0.99924442519955,0.0010202745668227,0.000751774275354514,0.00103147214147497
"71",61,0.5,0.4,0,0.511114848778574,0.330237630767962,0.504497095185984,0.325553816096048,0.554846210892094,0.34792345639035,0.524290737978417,0.32599191366495
"72",61,0.5,0.4,0.05,0.53752353799505,0.318435160476304,0.453277154800548,0.321518051474149,0.698651628687954,0.305238401924082,0.265646740001837,0.294411983782865
"73",61,0.5,0.4,0.1,0.55611318446763,0.320752178340554,0.434115816734939,0.323336294133509,0.765110844694618,0.287264800190423,0.205648436986149,0.282091140157423
"74",61,0.5,0.4,0.2,0.642491520158576,0.316657057447592,0.333982306612396,0.307355309277912,0.919381773352738,0.208386417651388,0.0582147746977369,0.184592803219236
"75",61,0.5,0.4,0.4,0.778047588741746,0.260578592607341,0.210679086150929,0.255390206255229,0.985262580640757,0.0974566529169373,0.0113328266213672,0.082573460572985
"76",61,0.7,0.01,0,0.700091410792888,0.0102606871810491,0.699498011440079,0.0101257311473498,0.996743238378836,0.000276080191513965,0.996727034141194,0.000271082681586677
"77",61,0.7,0.01,0.05,0.749513204353351,0.00965357170308632,0.650410838712126,0.0101167379343036,0.998128140884755,0.000157530370782068,0.993776017804665,0.000508695744214036
"78",61,0.7,0.01,0.1,0.799668717061106,0.00968832428865637,0.600362052878477,0.00987763706515415,0.998884113309738,9.9000100871722e-05,0.985659780959767,0.00120518617018809
"79",61,0.7,0.01,0.2,0.900005339661458,0.0103207260230427,0.500513118062916,0.00985843160893596,0.999648715162873,4.6203591388373e-05,0.514092540497404,0.0230925717371703
"80",61,0.7,0.01,0.4,0.99944129533103,0,0.299897705034557,0.00994589341567045,0.99999859827383,9.01965024554194e-08,0.00325014698148519,0.000278568132307371
"81",61,0.7,0.05,0,0.70038425949433,0.0518631132971676,0.697988753605607,0.0491573766321476,0.996655210908195,0.000860223237958377,0.996576549126561,0.000838590025476365
"82",61,0.7,0.05,0.05,0.748733676078099,0.0492150639193655,0.650788481364175,0.0495195685140238,0.998068000424002,0.00051803774966573,0.993674502703598,0.00142313508711971
"83",61,0.7,0.05,0.1,0.799806862906681,0.0497187460478469,0.60280066447275,0.0520549253348207,0.99885756331683,0.000363172585403299,0.985858206997695,0.00328514825808889
"84",61,0.7,0.05,0.2,0.899638696745602,0.0493444985324435,0.496870893329829,0.0518898675491503,0.999635046008846,0.000199628852052517,0.45246681550815,0.0556473373979163
"85",61,0.7,0.05,0.4,0.999041984763838,0.00460502755206014,0.30126314554006,0.0495936580004737,0.999997520451712,1.26204811325766e-05,0.00340436849047311,0.000834352339956878
"86",61,0.7,0.1,0,0.699603896782426,0.102785828046117,0.695475253566613,0.101555633149881,0.996319256422806,0.00183515252693116,0.996173942092395,0.00189856778902935
"87",61,0.7,0.1,0.05,0.749925070533984,0.098974081937892,0.64603027508472,0.0944348030090214,0.997934040048749,0.00109996451290578,0.992688305438211,0.00312492013948189
